weeks_on_list,publisher,title,author,contributor,age_group,published_date,list_name
1,Atria,THE PARIS LIBRARY,Janet Skeslien Charles,by Janet Skeslien Charles,,2021-02-28,Hardcover Fiction
22,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2021-02-28,Hardcover Fiction
18,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2021-02-28,Hardcover Fiction
20,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2021-02-28,Hardcover Fiction
12,Ballantine,READY PLAYER TWO,Ernest Cline,by Ernest Cline,,2021-02-28,Hardcover Fiction
25,Morrow,THE GUEST LIST,Lucy Foley,by Lucy Foley,,2021-02-28,Hardcover Fiction
5,Delacorte,NEIGHBORS,Danielle Steel,by Danielle Steel,,2021-02-28,Hardcover Fiction
1,St. Martin's,THE FOUR WINDS,Kristin Hannah,by Kristin Hannah,,2021-02-21,Hardcover Fiction
1,Flatiron,THE SURVIVORS,Jane Harper,by Jane Harper,,2021-02-21,Hardcover Fiction
36,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-02-21,Hardcover Fiction
2,"Little, Brown",THE RUSSIAN,James Patterson and James O. Born,by James Patterson and James O. Born,,2021-02-21,Hardcover Fiction
1,Pamela Dorman,THE SANATORIUM,Sarah Pearse,by Sarah Pearse,,2021-02-21,Hardcover Fiction
10,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2021-02-21,Hardcover Fiction
15,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2021-02-21,Hardcover Fiction
1,Knopf,SEND FOR ME,Lauren Fox,by Lauren Fox,,2021-02-21,Hardcover Fiction
127,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2021-02-21,Hardcover Fiction
1,Viking,GIRL A,Abigail Dean,by Abigail Dean,,2021-02-21,Hardcover Fiction
21,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2021-02-21,Hardcover Fiction
17,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2021-02-21,Hardcover Fiction
1,Ballantine,SERPENTINE,Jonathan Kellerman,by Jonathan Kellerman,,2021-02-21,Hardcover Fiction
11,Ballantine,READY PLAYER TWO,Ernest Cline,by Ernest Cline,,2021-02-21,Hardcover Fiction
19,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2021-02-21,Hardcover Fiction
1,"Little, Brown",THE RUSSIAN,James Patterson and James O. Born,by James Patterson and James O. Born,,2021-02-14,Hardcover Fiction
35,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-02-14,Hardcover Fiction
9,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2021-02-14,Hardcover Fiction
14,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2021-02-14,Hardcover Fiction
126,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2021-02-14,Hardcover Fiction
3,Pamela Dorman,THE PUSH,Ashley Audrain,by Ashley Audrain,,2021-02-14,Hardcover Fiction
18,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2021-02-14,Hardcover Fiction
4,Delacorte,NEIGHBORS,Danielle Steel,by Danielle Steel,,2021-02-14,Hardcover Fiction
10,Ballantine,READY PLAYER TWO,Ernest Cline,by Ernest Cline,,2021-02-14,Hardcover Fiction
20,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2021-02-14,Hardcover Fiction
16,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2021-02-14,Hardcover Fiction
2,Dutton,BEFORE SHE DISAPPEARED,Lisa Gardner,by Lisa Gardner,,2021-02-14,Hardcover Fiction
24,Morrow,THE GUEST LIST,Lucy Foley,by Lucy Foley,,2021-02-14,Hardcover Fiction
35,Flatiron,AMERICAN DIRT,Jeanine Cummins,by Jeanine Cummins,,2021-02-14,Hardcover Fiction
4,Del Rey,STAR WARS: LIGHT OF THE JEDI,Charles Soule,by Charles Soule,,2021-02-14,Hardcover Fiction
34,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-02-07,Hardcover Fiction
13,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2021-02-07,Hardcover Fiction
125,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2021-02-07,Hardcover Fiction
2,Pamela Dorman,THE PUSH,Ashley Audrain,by Ashley Audrain,,2021-02-07,Hardcover Fiction
8,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2021-02-07,Hardcover Fiction
3,Delacorte,NEIGHBORS,Danielle Steel,by Danielle Steel,,2021-02-07,Hardcover Fiction
1,Dutton,BEFORE SHE DISAPPEARED,Lisa Gardner,by Lisa Gardner,,2021-02-07,Hardcover Fiction
17,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2021-02-07,Hardcover Fiction
9,Ballantine,READY PLAYER TWO,Ernest Cline,by Ernest Cline,,2021-02-07,Hardcover Fiction
3,Del Rey,STAR WARS: LIGHT OF THE JEDI,Charles Soule,by Charles Soule,,2021-02-07,Hardcover Fiction
15,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2021-02-07,Hardcover Fiction
19,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2021-02-07,Hardcover Fiction
2,Grand Central,THE SCORPION'S TAIL,Douglas Preston and Lincoln Child,by Douglas Preston and Lincoln Child,,2021-02-07,Hardcover Fiction
23,Morrow,THE GUEST LIST,Lucy Foley,by Lucy Foley,,2021-02-07,Hardcover Fiction
8,"Little, Brown",DEADLY CROSS,James Patterson,by James Patterson,,2021-02-07,Hardcover Fiction
33,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-01-31,Hardcover Fiction
1,Grand Central,THE SCORPION'S TAIL,Douglas Preston and Lincoln Child,by Douglas Preston and Lincoln Child,,2021-01-31,Hardcover Fiction
2,Delacorte,NEIGHBORS,Danielle Steel,by Danielle Steel,,2021-01-31,Hardcover Fiction
2,Del Rey,STAR WARS: LIGHT OF THE JEDI,Charles Soule,by Charles Soule,,2021-01-31,Hardcover Fiction
7,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2021-01-31,Hardcover Fiction
124,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2021-01-31,Hardcover Fiction
12,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2021-01-31,Hardcover Fiction
18,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2021-01-31,Hardcover Fiction
16,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2021-01-31,Hardcover Fiction
